"","Phylum.Proteobacteria.0001","Ralstonia.0001","Streptococcus.0001","Fusobacterium.0001","Prevotella.0001","Ralstonia.0002","Streptococcus.0002","Streptococcus.0003","Prevotella.0002","Veillonella.0001","Alloprevotella.0001","Veillonella.0002","Prevotella.0003","Parvimonas.0001","Propionibacterium.0001","Propionibacterium.0002","Haemophilus.0001","Order.Gp2.0001","Delftia.0001","Prevotella.0005","Peptostreptococcus.0001","Stenotrophomonas.0001","Gemella.0001","Streptococcus.0004","Order.Gp2.0002","Fusobacterium.0003","Kingdom.Bacteria.0001","Oribacterium.0001","Pseudomonas.0002","Staphylococcus.0001","Actinomyces.0001","Campylobacter.0001","Megasphaera.0001","Pelomonas.0001","Burkholderia.0001","Actinomyces.0003"
"Phylum.Proteobacteria.0001",1,0,0,0,0,0,0,0,0,-0.5635456802931437,0.4838081985601611,0,0,0,0.5358863407885401,0,0,0,0,0,0.5347504212877766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ralstonia.0001",0,1,-0.504554468963089,0,0,0.633376068519282,0,0,0,0,-0.4371672051827394,0,0,0,0,0,0,0,0,0,-0.6539268614195192,0,0,0,0.6064941666922488,0,0,0,0,0,0,0,0,0.7065445722160739,0.5616910955204114,0
"Streptococcus.0001",0,-0.5045544689630893,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4594968799530194,0.5198024608839105,0,0,0,0,0.6490283680273085
"Fusobacterium.0001",0,0,0,1,0,0,0,0,0,0,0,0.5599730240026735,0,0,0,-0.5705771262536922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella.0001",0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.5364456695603622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7218112814455083,0,0,0
"Ralstonia.0002",0,0.633376068519282,0,0,0,1,0,0,-0.6897137311749998,0,-0.6719674389461507,0,0,-0.5925015563765132,0,0,0,0,0,0,-0.6493788315103148,0,0,0,0.6616354272823552,0,0,0,0,0,0,0,0,0.7239746489297773,0.7040052446726239,0
"Streptococcus.0002",0,0,0,0,0,0,1,0,0.5345447522735576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus.0003",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella.0002",0,0,0,0,0,-0.689713731175,0.5345447522735576,0,1,0,0.6103988051345963,0,0.6238815156924045,0,0,0,0,-0.4543508718040092,-0.5072094332181533,0,0,0,0,0,0,0,-0.4745115935594016,0,0,0,0,0,0.56823165302862,0,-0.5080725138433093,0
"Veillonella.0001",-0.5635456802931438,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.549566722495691,0.4876169243548581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloprevotella.0001",0.4838081985601611,-0.4371672051827394,0,0,0,-0.6719674389461504,0,0,0.6103988051345963,0,1,0,0,0,0,0,0,0,0,0,0.6842859779250595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella.0002",0,0,0,0.5599730240026735,0,0,0,0,0,0,0,1,0,0,-0.5655884075131573,-0.5689062577891727,0,0,0,0,0,0,0,0,0,0,0,0.5873800733175326,0,0,0,0,0.553565593974947,0,0,0
"Prevotella.0003",0,0,0,0,0,0,0,0,0.6238815156924045,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5427091644199595,0
"Parvimonas.0001",0,0,0,0,0,-0.5925015563765138,0,0,0,0,0,0,0,1,0,0,0,-0.4434130538264811,0,0,0.49945830754796755,0,0,0,-0.5210984457384389,0,0,0,0,0,0,0,0.5506465019910747,0,0,0
"Propionibacterium.0001",0.5358863407885404,0,0,0,-0.5364456695603624,0,0,0,0,0,0,-0.5655884075131573,0,0,1,0.8721977922111576,0,0,0,0,0,0,0,0,0,0,0,-0.6260217105725288,0.6392906352983155,0.5245340684921739,-0.6816681742935372,0,-0.6100305306992746,0,0,-0.5327164254165143
"Propionibacterium.0002",0,0,0,-0.5705771262536918,0,0,0,0,0,-0.549566722495691,0,-0.5689062577891723,0,0,0.8721977922111576,1,0,0,0,0,0,0.6339155017106928,0,0,0,0,0,0,0.7519243807666118,0,-0.647087380633841,0,0,0,0,0
"Haemophilus.0001",0,0,0,0,0,0,0,0,0,0.48761692435485804,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Order.Gp2.0001",0,0,0,0,0,0,0,0,-0.4543508718040092,0,0,0,0,-0.4434130538264816,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6112534337875023,0,0,0,0,0,0
"Delftia.0001",0,0,0,0,0,0,0,0,-0.5072094332181534,0,0,0,0,0,0,0,0,0,1,0,0,0.5692226122089726,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella.0005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptostreptococcus.0001",0.5347504212877766,-0.6539268614195191,0,0,0,-0.6493788315103148,0,0,0,0,0.6842859779250596,0,0,0.49945830754796733,0,0,0,0,0,0,1,0,0,0,-0.45384609643570933,0,0,0,0,0,0,0.6240586229594941,0,0,0,0
"Stenotrophomonas.0001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6339155017106928,0,0,0.5692226122089726,0,0,1,0,0,0,0,0,0,0.5339871508687798,0,0,0,0,0,0,0
"Gemella.0001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus.0004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.5336720528596826,0,0,-0.5385727283067577,0,0,0,0
"Order.Gp2.0002",0,0.6064941666922488,0,0,0,0.6616354272823552,0,0,0,0,0,0,0,-0.5210984457384389,0,0,0,0,0,0,-0.4538460964357094,0,0,0,1,0,0,0,0,0,0,0,0,0.7072654050125996,0,-0.5881652916741826
"Fusobacterium.0003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Kingdom.Bacteria.0001",0,0,0,0,0,0,0,0,-0.4745115935594016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Oribacterium.0001",0,0,0,0,0,0,0,0,0,0,0,0.5873800733175326,0,0,-0.6260217105725288,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.6176472346890128,0,0.898183227299737,0,0,0,0,0.5891200451617109
"Pseudomonas.0002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6392906352983155,0.7519243807666118,0,0,0,0,0,0.5339871508687798,0,-0.5336720528596827,0,0,0,-0.6176472346890128,1,0.556495957799368,0,0,0,0,0,-0.5625527394763211
"Staphylococcus.0001",0,0,-0.45949687995301935,0,0,0,0,0,0,0,0,0,0,0,0.524534068492174,0,0,0.6112534337875022,0,0,0,0,0,0,0,0,0,0,0.5564959577993682,1,-0.46137474966752107,0,0,0,0,0
"Actinomyces.0001",0,0,0.5198024608839105,0,0,0,0,0,0,0,0,0,0,0,-0.6816681742935372,-0.6470873806338411,0,0,0,0,0,0,0,0,0,0,0,0.898183227299737,0,-0.4613747496675211,1,0,0,0,0,0
"Campylobacter.0001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.624058622959494,0,0,-0.5385727283067576,0,0,0,0,0,0,0,1,0,0,0,0
"Megasphaera.0001",0,0,0,0,0.7218112814455083,0,0,0,0.56823165302862,0,0,0.553565593974947,0,0.5506465019910746,-0.610030530699275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5254360345603823,0,0
"Pelomonas.0001",0,0.7065445722160739,0,0,0,0.7239746489297773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7072654050125996,0,0,0,0,0,0,0,-0.5254360345603823,1,0.4861283771951269,0
"Burkholderia.0001",0,0.5616910955204114,0,0,0,0.7040052446726239,0,0,-0.5080725138433093,0,0,0,-0.5427091644199595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48612837719512697,1,0
"Actinomyces.0003",0,0,0.6490283680273083,0,0,0,0,0,0,0,0,0,0,0,-0.5327164254165144,0,0,0,0,0,0,0,0,0,-0.5881652916741832,0,0,0.589120045161711,-0.5625527394763211,0,0,0,0,0,0,1
